Designator,Value,Footprint,LCSC Part #,MPN,Manufacturer,DNP,Assembly class,Notes
U1,ESP32-S3-WROOM-1-N8R2,ESP32-S3-WROOM-1,C2913204,ESP32-S3-WROOM-1-N8R2,Espressif,NO,SMT,Official WROOM-1 module reference
U2,SY8089A1AAC,SOT-23-5,C479074,SY8089A1AAC,Silergy,NO,SMT,3.3V synchronous buck
Q1,SI1308EDL,SOT-323,C469327,SI1308EDL-T1-GE3,Vishay,NO,SMT,
J1,USB_NATIVE_1x4,PinHeader_1x04_P2.54mm,,1x4 2.54mm header,Generic,NO,THT/manual,VBUS D- D+ GND
J2,FH12-24S-0.5SH(55),Hirose_FH12-24S-0.5SH,C202112,FH12-24S-0.5SH (55),Hirose,NO,SMT,
SW1,RESET,SW_Push_6x6mm,,6x6 tactile switch,Generic,NO,THT/manual,
SW2,BOOT,SW_Push_6x6mm,,6x6 tactile switch,Generic,NO,THT/manual,
SJ1,RESE_SELECT,SolderJumper_3_Open,,3-pad solder jumper,Generic,NO,PCB feature,Select 0.47R or 2.2R only
L1,2.2uH 2A,L_2520,C280577,MHCD252012A-2R2M-A8S,Chilisin,NO,SMT,
C1,10uF 10V,C_0805,C105505,0805X106K100CT,Walsin,NO,SMT,
C2,22uF 6.3V,C_0805,C5674,CL21A226MQQNNNE,Samsung,NO,SMT,
C3,100nF 16V,C_0603,C141082,C0603C104K4RAC7867,KEMET,NO,SMT,
R1,100k 1%,R_0603,C14675,RC0603FR-07100KL,Yageo,NO,SMT,
R2,22.1k 1%,R_0603,C100870,CR0603FA2212G,LIZ,NO,SMT,
C4,22pF,C_0603,C376775,TCC0603COG220J500CT,CCTC,NO,SMT,
R3,10k,R_0603,C25804,0603WAF1002T5E,UNI-ROYAL,NO,SMT,
C5,1uF 50V,C_0603,C15849,CL10A105KB8NNNC,Samsung,NO,SMT,
R4,10k,R_0603,C25804,0603WAF1002T5E,UNI-ROYAL,NO,SMT,
R5,22R,R_0603,C100876,CR0603FA22R0G,LIZ,NO,SMT,USB series resistor
R6,22R,R_0603,C100876,CR0603FA22R0G,LIZ,NO,SMT,USB series resistor
C6,10uF 10V,C_0805,C105505,0805X106K100CT,Walsin,NO,SMT,
C7,100nF 16V,C_0603,C141082,C0603C104K4RAC7867,KEMET,NO,SMT,
L2,10uH 1A,L_4.5x4mm,C2929419,CY43-10UH,SHOU HAN,NO,SMT,
D1,MBR0530,SOD-123,C77336,MBR0530,JSCJ,NO,SMT,
D2,MBR0530,SOD-123,C77336,MBR0530,JSCJ,NO,SMT,
D3,MBR0530,SOD-123,C77336,MBR0530,JSCJ,NO,SMT,
R8,10k,R_0603,C25804,0603WAF1002T5E,UNI-ROYAL,NO,SMT,
R9,0.47R 1%,R_1206,C327076,RL1206FR-070R47L,YAGEO,NO,SMT,RESE option selected through SJ1
R10,2.2R 1%,R_1206,C137327,RC1206FR-072R2L,YAGEO,NO,SMT,RESE option selected through SJ1
R11,3R 1%,R_0402_V,C396139,WR04W3R00FTL,Walsin Tech Corp,NO,SMT,BS to GND
R12,10k,R_0603,C25804,0603WAF1002T5E,UNI-ROYAL,NO,SMT,BUSY pull-up
C8,4.7uF 25V,C_0805,C1779,CL21A475KAQNNNE,Samsung,NO,SMT,
C9,4.7uF 25V,C_0805,C1779,CL21A475KAQNNNE,Samsung,NO,SMT,
C10,4.7uF 25V,C_0805,C1779,CL21A475KAQNNNE,Samsung,NO,SMT,
C11,4.7uF 25V,C_0805,C1779,CL21A475KAQNNNE,Samsung,NO,SMT,
C12,4.7uF 25V,C_0805,C1779,CL21A475KAQNNNE,Samsung,NO,SMT,
C14,1uF 50V,C_0603,C15849,CL10A105KB8NNNC,Samsung,NO,SMT,
C15,1uF 50V,C_0603,C15849,CL10A105KB8NNNC,Samsung,NO,SMT,
C16,4.7uF 25V,C_0805,C1779,CL21A475KAQNNNE,Samsung,NO,SMT,
C17,1uF 50V,C_0603,C15849,CL10A105KB8NNNC,Samsung,NO,SMT,
H1,M3 NPTH,MountingHole_3.2mm,,,,NO,Mechanical,
H2,M3 NPTH,MountingHole_3.2mm,,,,NO,Mechanical,
H3,M3 NPTH,MountingHole_3.2mm,,,,NO,Mechanical,
H4,M3 NPTH,MountingHole_3.2mm,,,,NO,Mechanical,
C18,4.7uF 25V,C_0805,C1779,CL21A475KAQNNNE,Samsung,NO,SMT,charge-pump capacitor
