Comment,Designator,Footprint,LCSC Part #
ESP32-S3-WROOM-1-N8R2,U1,ESP32-S3-WROOM-1,C2913204
SY8089A1AAC,U2,SOT-23-5,C479074
SI1308EDL,Q1,SOT-323,C469327
FH12-24S-0.5SH(55),J2,Hirose_FH12-24S-0.5SH,C202112
2.2uH 2A,L1,L_2520,C280577
10uF 10V,C1,C_0805,C105505
22uF 6.3V,C2,C_0805,C5674
100nF 16V,C3,C_0603,C141082
100k 1%,R1,R_0603,C14675
22.1k 1%,R2,R_0603,C100870
22pF,C4,C_0603,C376775
10k,R3,R_0603,C25804
1uF 50V,C5,C_0603,C15849
10k,R4,R_0603,C25804
22R,R5,R_0603,C100876
22R,R6,R_0603,C100876
10uF 10V,C6,C_0805,C105505
100nF 16V,C7,C_0603,C141082
10uH 1A,L2,L_4.5x4mm,C2929419
MBR0530,D1,SOD-123,C77336
MBR0530,D2,SOD-123,C77336
MBR0530,D3,SOD-123,C77336
10k,R8,R_0603,C25804
0.47R 1%,R9,R_1206,C327076
2.2R 1%,R10,R_1206,C137327
3R 1%,R11,R_0402_V,C396139
10k,R12,R_0603,C25804
4.7uF 25V,C8,C_0805,C1779
4.7uF 25V,C9,C_0805,C1779
4.7uF 25V,C10,C_0805,C1779
4.7uF 25V,C11,C_0805,C1779
4.7uF 25V,C12,C_0805,C1779
1uF 50V,C14,C_0603,C15849
1uF 50V,C15,C_0603,C15849
4.7uF 25V,C16,C_0805,C1779
1uF 50V,C17,C_0603,C15849
4.7uF 25V,C18,C_0805,C1779
