Designator,Mid X,Mid Y,Layer,Rotation
U1,30.000mm,12.000mm,Top,0.0
U2,13.000mm,16.000mm,Top,270.0
Q1,24.000mm,28.000mm,Top,0.0
J2,31.000mm,41.000mm,Top,0.0
L1,16.000mm,16.000mm,Top,0.0
C1,10.000mm,16.000mm,Top,0.0
C2,19.000mm,16.000mm,Top,0.0
C3,18.500mm,20.500mm,Top,0.0
R1,12.000mm,19.000mm,Top,0.0
R2,15.000mm,19.000mm,Top,0.0
C4,18.000mm,19.000mm,Top,0.0
R3,18.500mm,9.000mm,Top,0.0
C5,18.500mm,11.000mm,Top,180.0
R4,42.000mm,20.000mm,Top,0.0
R5,11.000mm,21.500mm,Top,0.0
R6,11.000mm,23.500mm,Top,0.0
C6,18.500mm,5.000mm,Top,180.0
C7,18.500mm,7.000mm,Top,180.0
L2,20.000mm,28.000mm,Top,0.0
D1,15.500mm,32.000mm,Top,0.0
D2,19.000mm,32.000mm,Top,180.0
D3,22.500mm,32.000mm,Top,0.0
R8,24.000mm,25.000mm,Top,0.0
R9,16.000mm,37.000mm,Top,0.0
R10,20.000mm,37.000mm,Top,0.0
R11,28.750mm,32.000mm,Top,90.0
R12,41.000mm,25.000mm,Top,0.0
C8,24.500mm,36.000mm,Top,90.0
C9,26.200mm,36.000mm,Top,90.0
C10,42.800mm,30.000mm,Top,90.0
C11,44.500mm,30.000mm,Top,90.0
C12,46.200mm,30.000mm,Top,90.0
C14,38.000mm,30.000mm,Top,90.0
C15,39.500mm,30.000mm,Top,90.0
C16,41.100mm,30.000mm,Top,90.0
C17,48.500mm,30.000mm,Top,90.0
C18,18.000mm,30.000mm,Top,0.0
