Net,Reference,Pad,X_mm,Y_mm,Kind,Layer
GND,J1,4,4.000,26.310,th,F.Cu
GND,J2,17,33.250,39.150,smd,F.Cu
GND,J2,MP1,23.350,42.400,smd,F.Cu
GND,J2,MP2,38.650,42.400,smd,F.Cu
GND,C1,2,10.625,16.000,smd,F.Cu
GND,C2,2,19.625,16.000,smd,F.Cu
GND,C3,2,19.000,20.500,smd,F.Cu
GND,R2,2,15.500,19.000,smd,F.Cu
GND,C5,2,18.000,11.000,smd,F.Cu
GND,C6,2,17.875,5.000,smd,F.Cu
GND,C7,2,18.000,7.000,smd,F.Cu
GND,SW1,2,15.000,6.000,th,F.Cu
GND,SW1,4,15.000,10.000,th,F.Cu
GND,SW2,2,51.000,18.000,th,F.Cu
GND,SW2,4,51.000,22.000,th,F.Cu
GND,D2,2,18.000,32.000,smd,F.Cu
GND,R8,2,24.500,25.000,smd,F.Cu
GND,R9,2,16.800,37.000,smd,F.Cu
GND,R10,2,20.800,37.000,smd,F.Cu
GND,C8,2,24.500,35.375,smd,F.Cu
GND,C9,2,26.200,35.375,smd,F.Cu
GND,C10,2,42.800,29.375,smd,F.Cu
GND,C11,2,44.500,29.375,smd,F.Cu
GND,C12,2,46.200,29.375,smd,F.Cu
GND,C14,2,38.000,29.500,smd,F.Cu
GND,C15,2,39.500,29.500,smd,F.Cu
GND,C16,2,41.100,29.375,smd,F.Cu
GND,C17,2,48.500,29.500,smd,F.Cu
GND,U1,1,21.250,3.740,smd,F.Cu
GND,U1,40,38.750,3.740,smd,F.Cu
GND,U1,41_11,27.100,10.060,smd,F.Cu
GND,U1,41_12,28.500,10.060,smd,F.Cu
GND,U1,41_13,29.900,10.060,smd,F.Cu
GND,U1,41_21,27.100,11.460,smd,F.Cu
GND,U1,41_22,28.500,11.460,smd,F.Cu
GND,U1,41_23,29.900,11.460,smd,F.Cu
GND,U1,41_31,27.100,12.860,smd,F.Cu
GND,U1,41_32,28.500,12.860,smd,F.Cu
GND,U1,41_33,29.900,12.860,smd,F.Cu
GND,U2,2,13.950,16.000,smd,F.Cu
GND,R11,2,28.750,31.500,smd,F.Cu
VBUS_5V,J1,1,4.000,18.690,th,F.Cu
VBUS_5V,C1,1,9.375,16.000,smd,F.Cu
VBUS_5V,U2,1,13.950,16.950,smd,F.Cu
VBUS_5V,U2,4,12.050,15.050,smd,F.Cu
3V3,J2,15,32.250,39.150,smd,F.Cu
3V3,J2,16,32.750,39.150,smd,F.Cu
3V3,L1,2,16.800,16.000,smd,F.Cu
3V3,C2,1,18.375,16.000,smd,F.Cu
3V3,C3,1,18.000,20.500,smd,F.Cu
3V3,R1,1,11.500,19.000,smd,F.Cu
3V3,C4,1,17.500,19.000,smd,F.Cu
3V3,R3,1,18.000,9.000,smd,F.Cu
3V3,R4,1,41.500,20.000,smd,F.Cu
3V3,C6,1,19.125,5.000,smd,F.Cu
3V3,C7,1,19.000,7.000,smd,F.Cu
3V3,L2,1,18.900,28.000,smd,F.Cu
3V3,R12,1,40.500,25.000,smd,F.Cu
3V3,U1,2,21.250,5.010,smd,F.Cu
USB_D-,J1,2,4.000,21.230,th,F.Cu
USB_D-,R5,1,10.500,21.500,smd,F.Cu
USB_D+,J1,3,4.000,23.770,th,F.Cu
USB_D+,R6,1,10.500,23.500,smd,F.Cu
EN,R3,2,19.000,9.000,smd,F.Cu
EN,C5,1,19.000,11.000,smd,F.Cu
EN,SW1,1,9.000,6.000,th,F.Cu
EN,SW1,3,9.000,10.000,th,F.Cu
EN,U1,3,21.250,6.280,smd,F.Cu
BOOT,R4,2,42.500,20.000,smd,F.Cu
BOOT,SW2,1,45.000,18.000,th,F.Cu
BOOT,SW2,3,45.000,22.000,th,F.Cu
BOOT,U1,27,38.750,20.250,smd,F.Cu
EPD_SCLK,J2,13,31.250,39.150,smd,F.Cu
EPD_SCLK,U1,23,33.175,21.500,smd,F.Cu
EPD_MOSI,J2,14,31.750,39.150,smd,F.Cu
EPD_MOSI,U1,24,34.445,21.500,smd,F.Cu
EPD_CS,J2,12,30.750,39.150,smd,F.Cu
EPD_CS,U1,22,31.905,21.500,smd,F.Cu
EPD_DC,J2,11,30.250,39.150,smd,F.Cu
EPD_DC,U1,21,30.635,21.500,smd,F.Cu
EPD_RST,J2,10,29.750,39.150,smd,F.Cu
EPD_RST,U1,20,29.365,21.500,smd,F.Cu
EPD_BUSY,J2,9,29.250,39.150,smd,F.Cu
EPD_BUSY,R12,2,41.500,25.000,smd,F.Cu
EPD_BUSY,U1,19,28.095,21.500,smd,F.Cu
I2C_SCL,J2,6,27.750,39.150,smd,F.Cu
I2C_SCL,U1,17,25.555,21.500,smd,F.Cu
I2C_SDA,J2,7,28.250,39.150,smd,F.Cu
I2C_SDA,U1,18,26.825,21.500,smd,F.Cu
GDR,J2,2,25.750,39.150,smd,F.Cu
GDR,Q1,1,23.400,27.300,smd,F.Cu
GDR,R8,1,23.500,25.000,smd,F.Cu
RESE,J2,3,26.250,39.150,smd,F.Cu
RESE,Q1,2,23.400,28.700,smd,F.Cu
RESE,SJ1,2,20.000,34.500,smd,F.Cu
SW_EPD,Q1,3,24.600,28.000,smd,F.Cu
SW_EPD,L2,2,21.100,28.000,smd,F.Cu
SW_EPD,D3,1,21.500,32.000,smd,F.Cu
SW_EPD,C18,1,17.375,30.000,smd,F.Cu
PUMP_NEG,D1,1,14.500,32.000,smd,F.Cu
PUMP_NEG,D2,1,20.000,32.000,smd,F.Cu
PUMP_NEG,C18,2,18.625,30.000,smd,F.Cu
PREVGL,J2,23,36.250,39.150,smd,F.Cu
PREVGL,D1,2,16.500,32.000,smd,F.Cu
PREVGL,C12,1,46.200,30.625,smd,F.Cu
PREVGH,J2,21,35.250,39.150,smd,F.Cu
PREVGH,D3,2,23.500,32.000,smd,F.Cu
PREVGH,C10,1,42.800,30.625,smd,F.Cu
VGL,J2,4,26.750,39.150,smd,F.Cu
VGL,C8,1,24.500,36.625,smd,F.Cu
VGH,J2,5,27.250,39.150,smd,F.Cu
VGH,C9,1,26.200,36.625,smd,F.Cu
VDD_EPD,J2,18,33.750,39.150,smd,F.Cu
VDD_EPD,C14,1,38.000,30.500,smd,F.Cu
VPP,J2,19,34.250,39.150,smd,F.Cu
VPP,C15,1,39.500,30.500,smd,F.Cu
VSH,J2,20,34.750,39.150,smd,F.Cu
VSH,C16,1,41.100,30.625,smd,F.Cu
VSL,J2,22,35.750,39.150,smd,F.Cu
VSL,C11,1,44.500,30.625,smd,F.Cu
VCOM,J2,24,36.750,39.150,smd,F.Cu
VCOM,C17,1,48.500,30.500,smd,F.Cu
BUCK_SW,L1,1,15.200,16.000,smd,F.Cu
BUCK_SW,U2,3,13.950,15.050,smd,F.Cu
BUCK_FB,R1,2,12.500,19.000,smd,F.Cu
BUCK_FB,R2,1,14.500,19.000,smd,F.Cu
BUCK_FB,C4,2,18.500,19.000,smd,F.Cu
BUCK_FB,U2,5,12.050,16.950,smd,F.Cu
USB_DM_MCU,R5,2,11.500,21.500,smd,F.Cu
USB_DM_MCU,U1,13,21.250,18.980,smd,F.Cu
USB_DP_MCU,R6,2,11.500,23.500,smd,F.Cu
USB_DP_MCU,U1,14,21.250,20.250,smd,F.Cu
RESE_047,R9,1,15.200,37.000,smd,F.Cu
RESE_047,SJ1,1,18.500,34.500,smd,F.Cu
RESE_2R2,R10,1,19.200,37.000,smd,F.Cu
RESE_2R2,SJ1,3,21.500,34.500,smd,F.Cu
BS,J2,8,28.750,39.150,smd,F.Cu
BS,R11,1,28.750,32.500,smd,F.Cu
